id,mother,father,dpc
296,3,120,65
293,3,138,65
269,3,231,68
284,3,172,66
297,3,172,66
288,3,234,68
286,3,231,68
272,3,172,66
279,3,144,65
281,3,256,68
287,3,161,65
290,3,200,66
285,3,127,65
277,3,200,66
270,3,179,66
298,3,127,65
278,3,179,66
283,3,120,65
295,3,104,61
271,3,138,65
282,3,104,61
294,3,256,68
276,3,204,66
291,3,179,66
280,3,138,65
275,3,234,68
273,3,231,68
292,3,144,65
274,3,161,65
289,3,204,66
415,4,251,68
400,4,91,61
425,4,208,66
401,4,251,68
422,4,227,68
410,4,71,61
402,4,107,61
407,4,233,68
417,4,253,68
418,4,167,65
416,4,107,61
403,4,253,68
413,4,148,65
432,4,191,66
423,4,137,65
420,4,199,66
433,4,167,65
408,4,227,68
435,4,137,65
431,4,233,68
427,4,148,65
409,4,137,65
430,4,253,68
421,4,233,68
412,4,139,65
434,4,107,61
399,4,233,68
436,4,139,65
426,4,139,65
404,4,167,65
556,5,146,65
549,5,136,65
542,5,86,61
540,5,236,68
560,5,258,68
552,5,170,66
543,5,156,65
564,5,170,66
538,5,225,68
557,5,206,66
541,5,170,66
537,5,156,65
548,5,258,68
546,5,225,68
559,5,254,68
551,5,229,68
539,5,254,68
554,5,105,61
545,5,206,66
555,5,156,65
544,5,146,65
563,5,229,68
561,5,136,65
562,5,236,68
553,5,86,61
550,5,236,68
566,5,105,61
547,5,254,68
558,5,225,68
565,5,86,61
694,6,84,61
690,6,187,66
667,6,223,68
692,6,196,66
668,6,133,65
673,6,259,68
682,6,133,65
688,6,259,68
669,6,113,61
670,6,147,65
676,6,190,66
679,6,92,61
685,6,211,66
696,6,92,61
686,6,151,65
683,6,113,61
691,6,212,66
678,6,216,66
680,6,264,68
687,6,261,68
681,6,223,68
674,6,118,61
689,6,118,61
672,6,261,68
677,6,84,61
695,6,216,66
693,6,190,66
671,6,211,66
684,6,147,65
675,6,212,66
817,7,166,65
821,7,257,68
809,7,74,61
831,7,177,66
823,7,155,65
807,7,155,65
798,7,265,68
826,7,177,66
812,7,205,66
827,7,121,65
804,7,121,65
830,7,80,61
801,7,80,61
810,7,177,66
797,7,102,61
824,7,140,65
815,7,182,66
820,7,201,66
814,7,134,65
802,7,166,65
800,7,182,66
805,7,257,68
828,7,177,66
816,7,80,61
825,7,74,61
811,7,102,61
806,7,260,68
813,7,265,68
799,7,134,65
808,7,140,65
938,8,267,68
949,8,75,61
937,8,124,65
943,8,162,65
933,8,162,65
954,8,94,61
946,8,164,65
940,8,89,61
950,8,89,61
947,8,124,65
939,8,75,61
952,8,79,61
934,8,94,61
957,8,124,65
959,8,75,61
935,8,209,66
932,8,79,61
956,8,164,65
945,8,209,66
942,8,79,61
944,8,94,61
961,8,95,61
955,8,209,66
960,8,89,61
936,8,164,65
953,8,162,65
951,8,95,61
948,8,267,68
958,8,267,68
941,8,95,61
1083,9,69,61
1067,9,202,66
1071,9,81,61
1090,9,76,61
1078,9,110,61
1081,9,239,68
1084,9,81,61
1075,9,130,65
1086,9,249,68
1082,9,194,66
1065,9,110,61
1076,9,126,65
1072,9,218,66
1068,9,239,68
1080,9,202,66
1062,9,119,65
1070,9,69,61
1077,9,76,61
1064,9,249,68
1073,9,249,68
1088,9,130,65
1066,9,119,65
1069,9,194,66
1085,9,218,66
1087,9,215,66
1079,9,119,65
1074,9,215,66
1063,9,202,66
1089,9,126,65
1091,9,110,61
1202,10,173,66
1197,10,255,68
1205,10,189,66
1218,10,213,66
1216,10,114,61
1194,10,98,61
1215,10,143,65
1195,10,214,66
1204,10,245,68
1198,10,222,68
1206,10,243,68
1211,10,255,68
1220,10,245,68
1219,10,101,61
1199,10,78,61
1200,10,154,65
1210,10,108,61
1212,10,222,68
1208,10,98,61
1203,10,101,61
1192,10,243,68
1207,10,198,66
1221,10,189,66
1213,10,78,61
1193,10,198,66
1201,10,143,65
1196,10,108,61
1217,10,173,66
1209,10,214,66
1214,10,154,65
